ID,name,type,Wikipedia,WIKIDATA,WGW,GND,Website
JLLobmeyr,J. & L. Lobmeyr ,manufactory,,Q876883,17959,,JLLobmeyr.html
Gerold,Gerold & Co,printer,,,19514,,Gerold.html
Herrenhaus,Herrenhaus,representativ,,,12008,,Herrenhaus.html
AkBild,Akademie der bildenden Künste,cultural,,Q414219,17555,2003761-2,AkBild.html
GenossenschaftKünstler,Genossenschaft der bildenden Künstler Wiens,cultural,,Q284902,25052,2100204-6,GenossenschaftKünstler.html
Schillerstiftung,Deutsche Schillerstiftung,cultural,,,,5187203-1,Schillerstiftung.html
TheyerHartmut,THEYER & HARDTMUTH,paper,,,46454,,TheyerHartmut.html
StädtischeLeichenbestattung,Städtische Leichenbestattung,funeral,,,,,StädtischeLeichenbestattung.html
DruckBileg,Josef Bileg,printer,,,,,DruckBileg.html
GeneralinspektionEisenbahn,Generalinspektion der österreichischen Eisenbahnen,transport,,,,,GeneralinspektionEisenbahn.html
Statthalterei,Küstenländische Statthalterei,political,,,,,Statthalterei.html
Enterprisefunebres,Entreprise des pompes funèbres,funeral,,,,,Enterprisefunebres.html
Bärenhöhle,Bärenhöhle,political,,,42579,,Bärenhöhle.html
Nordbahn,Kaiser-Ferdinands-Nordbahn,transport,https://de.wikipedia.org/wiki/Kaiser_Ferdinands-Nordbahn,Q352763,21891,4276204-2,Nordbahn.html
EisenbahnMinisterium,Eisenbahnen-Ministerium,political,https://de.wikipedia.org/wiki/K.k._Eisenbahnministerium,,,,EisenbahnMinisterium.html
BestattungPayer,"Payer, Schmutzer & Co",funeral,,,,,BestattungPayer.html
Lischkar,Lischkar & Co,printer,,,,,Lischkar.html
Vaterland,Vaterland,press,,Q125847075,,,Vaterland.html
FreiePresse,Neue Freie Presse,press,,Q2919142,,,FreiePresse.html
Extrablatt,Illustrirtes Wiener Extrablatt,press,,Q1658926,,,Extrablatt.html
MeyrsNeffe,Meyr's Neffe,manufactory,,Q1926388,,,MeyrsNeffe.html
WienerKonservatorium,Wiener Konservatorium,cultural,,Q28864370,,,WienerKonservatorium.html
