ID,forename,surname,surname maiden,occupations,affiliations,death_date,Wikidata,WGW,GND,Wikipedia,ÖBL,PMB,VIAF,Website
LudwigLobmeyr,Ludwig,Lobmeyr,,k. k. Hofglashändler, Österreichisches Herrenhaus;  k. k.Akademie der bildenden Künste;  Genossenschaft der bildenden Künstler Wiens;  Deutsche Schillerstiftung,1917-03-25,Q55847850,,,,,,,LudwigLobmeyr.html
JosephLobmeyr,Joseph,Lobmeyr,,k. k. Hofglashändler,,,,,,,,,,JosephLobmeyr.html
FranzLobmeyr,Franz,Lobmeyr,,k. k. Linienschiffs-Lieutenant,,,,,,,,,,FranzLobmeyr.html
LouiseKralik,Louise,Kralik von Meyrswalden,Lobmeyr,,,1905-10-03,Q133874636,,,,,,,LouiseKralik.html
HannsKralik,Hanns,Kralik von Meyrswalden,,,,,,,,,,,,HannsKralik.html
HeinrichKralikSen,Heinrich,Kralik von Meyrswalden,,Glasfabrikant,,,,,,https://de.wikipedia.org/wiki/Heinrich_Kralik_von_Meyrswalden_(Industrieller),,,,HeinrichKralikSen.html
MathildeRath,Mathilde,Rath,Lobmeyr,,,,,,,,,,,MathildeRath.html
WilhelmKralik,Wilhelm,Kralik von Meyrswalden,,Glasfabriken-Besitzer,,,Q2573745,,136539696,,,,,WilhelmKralik.html
LudwigKralik,Ludwig,Ritter Kralik von Meyrswalden,,Oberingenieur der Kaiser-Ferdinand-Nordbahn,,,,,,,,,,LudwigKralik.html
HildegardLobmeyr,Hildegard,Lobmeyr,von Stahlberg,,,,,,,,,,,HildegardLobmeyr.html
AloisiaLobmeyr,Aloisia,Lobmeyr,Dobratsky,,,1864-01-26,,,,,,,,AloisiaLobmeyr.html
CarlGerold,Carl,Gerold,,Buchdrucker, Gerold & Co,,Q61995654,19487,133262871,,,,,CarlGerold.html
RudolfLobmeyr,Rudolf,Lobmeyr,,k. k. Bezirkshauptmann,,,,,,,,,,RudolfLobmeyr.html
AdolfLobmeyr,Adolf,Lobmeyr,,Oberinspektionsrat der Generalinspektion der österreichischen Eisenbahnen,,,,,,,,,,AdolfLobmeyr.html
OskarLobmeyr,Oskar,von Lobmeyr,,Vize-Präsident der küstenländischen Statthalterei,,,,,1157623174,,,,,OskarLobmeyr.html
LudwigLobmeyrJun,Ludwig,Lobmeyr,,k. k. Rittmeister,,,,,,,,,,LudwigLobmeyrJun.html
JennyLobmeyr,Jenny,Lobmeyr,Ruße,,,,,,,,,,,JennyLobmeyr.html
MarieLobmeyr,Marie,Lobmeyr,Steinhuber,,,,,,,,,,,MarieLobmeyr.html
EllyLobmeyr,Elly,von Lobmeyr,Arbeßer von Rastburg,,,,,,,,,,,EllyLobmeyr.html
GretlLobmeyr,Gretl,Lobmeyr,Handofsky,,,,,,,,,,,GretlLobmeyr.html
HermannSpaun,Hermann,von Spaun,,Geheimer Rat; k. k. Admiral,,,,,103544075X,,https://www.biographien.ac.at/oebl/oebl_S/Spaun_Hermann_1833_1919.xml,,,HermannSpaun.html
AugustRath,August,Rath,,kaiserlicher Rat,,,,,,,,,,AugustRath.html
MarieSchönvonKreuzenau,Marie,Schön von Kreuzenau,Rath,,,,,,,,,,,MarieSchönvonKreuzenau.html
AugustRathjun,August,Rath jun.,,Großindustrieller,,,,,,,,,,AugustRathjun.html
PaulRath,Paul,Rath,,k.k. Oberst,,,,,,,,,,PaulRath.html
StefanRath,Stefan,Rath,,k. k. Oberleutnant i. V. d. E.; Gesellschafter der Firma J. & L. Lobmeyr,,,,,,,,,,StefanRath.html
AdeleRath,Adele,Rath,Wagenmann,,,,,,,,,,,AdeleRath.html
KarlPichler,Karl,Pichler von Deeben,,k. k. Ministerialrat,,,,,,,,,,KarlPichler.html
MathildeKralik,Mathilde,Kralik von Meyrswalden,,Komponistin,,,Q89972,37789,130214566,,,19659,,MathildeKralik.html
AloisiaPichler,Louisa,Pichler von Deeben,Kralik von Meyrswalden,,,,,,,,,,,AloisiaPichler.html
MinnaKralik,Minna,Kralik von Meyrswalden,,,,,,,,,,,,MinnaKralik.html
RichardKralik,Richard,Kralik von Meyrswalden,,,,1934-02-04,Q1317482,16425,118777920,,,3731,,RichardKralik.html
MaiaKralik,Maia,Kralik von Meyrswalden,von Flattich,,,,,,116385863,,,,,MaiaKralik.html
EduardPichler,Eduard,Pichler von Deeben,,k. k. Ministerialrat; Sektionsrat im Eisenbahn-Ministerium,,,,,,,,,,EduardPichler.html
JosefBileg,Josef,Bileg,,Drucker,,,,,,,,,,JosefBileg.html
AgnesKralik,Agnes,Kralik von Meyrswalden,,,,,,,,,,,,AgnesKralik.html
EduardSchmid,Eduard,Schmid,,Glasfabrikant,,,,,1030547009,,https://www.biographien.ac.at/oebl/oebl_S/Schmid_Josef-Eduard_1836_1910.xml,,,EduardSchmid.html
CarlKralik,Carl,Kralik von Meyrswalden,,,,,,,,,,,,CarlKralik.html
JosefTaschek,Josef,Taschek,,,,,Q8311993,,,https://de.wikipedia.org/wiki/Josef_Taschek,,,,JosefTaschek.html
DietrichKralik,Dietrich,Kralik von Meyrswalden,,Universitätsprofessor, Bärenhöhle,,Q1223897,16414,118777912,,,,,DietrichKralik.html
HeinrichKralik,Heinrich,Kralik von Meyrswalden,,,,,Q1235353,16424,121829324,,,,,HeinrichKralik.html
RodrichKralik,Rodrich,Kralik von Meyrswalden,,Landesgerichtsrat,,,,,11638610X,,,,,RodrichKralik.html
EdithPichler,Edith,Pichler von Deeben,,,,,,,,,,,,EdithPichler.html
IlsePichler,Ilse,Pichler von Deeben,,,,,,,,,,,,IlsePichler.html
HannahKralik,Hannah,Kralik von Meyerswalden,,,,,,,,,,,,HannahKralik.html
GretlKralik,Gretl,Kralik von Meyrswalden,,,,,,,,,,,,GretlKralik.html
LuiseKralik,Luise,Kralik von Meyrswalden,,,,,,,,,,,,LuiseKralik.html
WinifredKralik,Winifred,Kralik,,,,,Q59653649,37795,118643274,,,,,WinifredKralik.html
LeopoldKralik,Leopold,Kralik,,,,,,,,,,,,LeopoldKralik.html
ElfriedeKralik,Elfriede,Kralik,,,,,,,,,,,,ElfriedeKralik.html
TheodorInnitzer,Theodor,Innitzer,,,,,Q78988,13273,118555634,,,57443,,TheodorInnitzer.html
RudolfWieser,Rudolf,Wieser,,,,,,,,,,,,RudolfWieser.html
EdmundSteinbock,Edmund,Steinbock,,,,,,,,,,,,EdmundSteinbock.html
AliceScarlates,Alice,Scarlates,,Philologin; Dolmetscherin,,,Q52084077,,1228633460,,,,,AliceScarlates.html
EduardHauptmann,Eduard,Hauptmann,,,,,,,,,,,,EduardHauptmann.html
CarlHertlein,Carl,Hertlein,,,,,,,,,,,,CarlHertlein.html
JuliusEpstein,Julius,Epstein,,,,,Q79036,,116652357,,,,,JuliusEpstein.html
IreneZoepf,Irene,Zoepf,,,,,,,,,,,66893083,IreneZoepf.html
Herder,Johann,Herder,,,,,Q155547,,118549553,,,,,Herder.html
Catull,Catull,,,,,,Q163079,,118519719,,,,,Catull.html
JohannRathausky,Johann,Rathausky,,,,,,,1027435025,,,,,JohannRathausky.html
Sokrates,Sokrates,,,,,,Q913,,,,,,,Sokrates.html
Ilse,Ilse,,,,,,,,,,,,,Ilse.html
FranziskaTschampa,Franziska,Tschampa,,,,,,,1081510544,,,,,FranziskaTschampa.html
LulaGmeiner,Lula,Gmeiner,,,,,Q1676668,,117212490,,,,,LulaGmeiner.html
FranzNaval,Franz,Naval,,,,,Q87156,,116266945,,,,,FranzNaval.html
MarcellaPregi,Marcella,Pregi,,,,,Q94761060,,116281588,,,,,MarcellaPregi.html
Angiline,Angiline,,,,,,,,,,,,,Angiline.html
RudolphFitzner,Rudolph,Fitzner,,,,,Q7377184,,116586540,,,,,RudolphFitzner.html
ErnstDohnany,Ernst,von Dohnányi,,,,,Q78532,,119110016,,,,,ErnstDohnany.html
Beethoven,Ludwig,van Beethoven,,,,,Q255,,118508288,,,,,Beethoven.html
Mozart,Wolfgang,Mozart,,,,,Q254,,118584596,,,,,Mozart.html
Haydn,Joseph,Haydn,,,,,Q7349,,118547356,,,,,Haydn.html
LeoXIII,Leo,XIII,,,,,Q43922,,,,,,,LeoXIII.html
